ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
7213,2020,VA,848.0,0.167,Electric Utility,COAL,1240625.0,13959582.0,1432252.0,2308.92,1,0,0
55381,2020,VA,402.5,0.0068,IPP Non-CHP,OIL,23861.0,255824.0,20758.0,1739.894,1,0,0
7212,2020,VA,368.4,0.0328,Electric Utility,GAS,105767.0,1346146.0,80893.0,1529.651,1,0,0
52019,2020,VA,1313.0,0.4965,IPP Non-CHP,GAS,5710791.0,52120202.0,3097621.0,1084.831,1,0,0
52087,2020,VA,388.8,0.0252,Electric Utility,GAS,85975.0,1062716.0,63055.0,1466.819,1,0,0
54844,2020,VA,300.4,0.4459,Electric Utility,GAS,1173496.0,9992830.0,594369.0,1012.989,1,0,0
7032,2020,VA,407.7,0.0413,Electric Utility,GAS,147491.0,1907277.0,113015.0,1532.503,1,0,0
59913,2020,VA,1773.3,0.6873,Electric Utility,GAS,10675865.0,70502052.0,4189823.0,784.915,1,0,0
10633,2020,VA,399.0,0.5497,IPP CHP,GAS,1921330.0,16320710.0,969913.0,1009.627,1,0,0
7839,2020,VA,892.5,0.1475,Electric Utility,GAS,1153470.0,11435832.0,682849.0,1183.991,1,0,0
7837,2020,VA,509.1,0.0791,Electric Utility,GAS,352845.0,4005134.0,238055.0,1349.344,1,0,0
3799,2020,VA,82.8,0.0002,Electric Utility,OIL,118.0,2062.0,168.0,2854.034,1,0,0
7836,2020,VA,708.8,0.0924,Electric Utility,GAS,573993.0,5981067.0,355517.0,1238.75,1,0,0
3800,2020,VA,82.8,0.0101,Electric Utility,OIL,7350.0,138076.0,11276.0,3068.213,1,0,0
59004,2020,VA,812.0,0.6961,IPP Non-CHP,GAS,4951542.0,33868405.0,2012751.0,812.979,1,0,0
3804,2020,VA,2081.9,0.1878,Electric Utility,GAS,3424414.0,26901544.0,1604137.0,936.883,1,0,0
7838,2020,VA,705.5,0.1128,Electric Utility,GAS,697312.0,7055950.0,419714.0,1203.805,1,0,0
10017,2020,VA,101.0,0.6417,Industrial CHP,COAL,567788.0,2119566.0,12596.0,44.37,1,0,0
54081,2020,VA,229.6,0.0228,IPP CHP,GAS,45921.0,269062.0,15990.0,696.405,1,0,0
3785,2020,VA,27.0,0.002,IPP Non-CHP,OIL,476.0,12340.0,1008.0,4233.979,1,0,0
55439,2020,VA,1011.4,0.5117,IPP Non-CHP,GAS,4533164.0,32395611.0,1925325.0,849.44,1,0,0
56808,2020,VA,668.0,0.1487,Electric Utility,COAL,870065.0,10793234.0,901956.0,2073.308,1,0,0
55939,2020,VA,1472.2,0.7056,Electric Utility,GAS,9099466.0,63064074.0,3747811.0,823.743,1,0,0
